image_name,strategy,seed,thresholds,best_f,fe,dsc,iou,psnr,ssim,time_sec,convergence_iters
100007.jpg,PA5,42,"35,58,78,96,116,137,162,187,211,234",-36.27805355072169,36.27805355072169,0.24121426101516005,0.13714817880794702,32.628181370456815,0.8709058524277142,1.6592669486999512,40
100007.jpg,PA6,42,"28,60,91,119,133,150,168,189,210,237",-35.792528985242484,35.792528985242484,0.23092667090126331,0.1305353865794303,32.73844760166042,0.8718007214112444,0.7879784107208252,40
100039.jpg,PA5,42,"39,66,88,110,132,153,174,195,215,235",-35.924480343605325,35.924480343605325,0.13622390891840608,0.07309027601022185,32.24602971306207,0.9262363590820694,1.4908006191253662,36
100039.jpg,PA6,42,"31,57,81,104,129,153,171,191,209,232",-35.60675925176231,35.60675925176231,0.1360965107934599,0.07301693010478559,31.747842580608534,0.9176961146000422,0.739999532699585,40
100099.jpg,PA5,42,"39,58,73,89,106,123,139,154,169,189",-33.52854703102853,33.52854703102853,0.12412165796276697,0.06616722160562338,35.0733707932609,0.8921980477807031,2.0145974159240723,40
100099.jpg,PA6,42,"34,55,66,80,99,117,132,161,176,193",-32.849118273743954,32.849118273743954,0.13213528520949017,0.0707413573173632,31.957990646574107,0.8539504739370566,1.1157567501068115,25
10081.jpg,PA5,42,"39,63,84,103,122,143,165,187,209,231",-37.184997755374916,37.184997755374916,0.19171772998518163,0.10602201501627871,32.57023812699068,0.8707818769871807,1.707437515258789,40
10081.jpg,PA6,42,"24,47,68,90,116,143,164,185,205,225",-37.19450124646768,37.19450124646768,0.1926283016972984,0.10657923983107358,32.0855355751684,0.86160285188709,0.7045493125915527,25
101027.jpg,PA5,42,"21,41,61,81,103,128,154,179,204,229",-37.37292496088731,37.37292496088731,0.1139043381535039,0.06039160179287568,32.3069616619446,0.9031680914296268,1.62550950050354,40
101027.jpg,PA6,42,"19,43,62,84,103,126,148,171,196,222",-37.15846611152462,37.15846611152462,0.11244970842186158,0.059574417128692714,31.97006871356819,0.8990314552562956,0.7143609523773193,38
